lat,lng,count,,,,
-29.004,128.155,335,,,,
-29.009,128.148,342.3,,,,
-29.021,128.147,341.9,,,,
-29.051,128.2,346.9,,,,
-29.063,128.198,375.5,,,,
-28.178,121.209,344,,,,
-28.187,121.207,357.3,,,,
-28.188,121.218,369.6,,,,
-29.168,128.217,333.3,,,,
-29.188,128.002,339.8,,,,
-29.19,128.02,348.1,,,,
-29.2,128,356.2,,,,
-29.202,128.018,392.4,,,,
-29.204,128.037,351.3,,,,
-29.205,128.055,347,,,,
-29.211,128.111,356.2,,,,
-29.215,128.035,377.2,,,,
-29.217,128.054,354.5,,,,
-29.219,128.072,383.1,,,,
-29.221,128.091,351.1,,,,
-29.223,128.109,392.7,,,,
-30.697,132.963,332.8,,,,
-30.714,132.962,337.5,,,,
-30.701,132.957,338.3,,,,
-30.654,123.453,331.1,,,,
-30.777,123.403,339.6,,,,
-30.781,123.436,341.1,,,,
-30.783,123.447,346.6,,,,
-30.791,123.434,382,,,,
-30.792,123.446,391.3,,,,
-30.798,123.422,339.8,,,,
-30.8,123.433,370.9,,,,
-30.808,123.42,352.3,,,,
-30.809,123.431,398,,,,
-30.811,123.442,338,,,,
-30.818,123.498,338.4,,,,
-30.814,123.424,383.7,,,,
-30.816,123.435,371.7,,,,
-30.823,123.491,336,,,,
-30.824,123.422,390.8,,,,
-30.825,123.433,456,,,,
-30.826,123.444,345.7,,,,
-30.833,123.42,357,,,,
-30.834,123.432,454.9,,,,
-30.836,123.443,350.7,,,,
-31.949,121.413,333.9,,,,
-31.995,121.479,335.5,,,,
-32.009,121.509,339.6,,,,
-32.071,121.621,337.4,,,,
-32.079,121.674,332.1,,,,
-32.08,121.619,336.4,,,,
-32.219,121.373,360.1,,,,
-32.22,121.383,339.4,,,,
-32.228,121.371,343.9,,,,
-32.327,121.291,332.4,,,,
-32.376,121.318,342.1,,,,
-32.381,121.35,335.4,,,,
-32.39,121.348,342.3,,,,
-32.611,121.099,349,,,,
-32.627,121.085,354.5,,,,
-32.629,121.095,344.1,,,,
-32.648,121.102,349.6,,,,
-32.65,121.113,341.8,,,,
-32.674,121.086,348.8,,,,
-32.675,121.097,342.9,,,,
-32.688,121.182,359.1,,,,
-32.695,121.17,353.4,,,,
-32.697,121.18,379.5,,,,
-32.701,121.151,337.2,,,,
-32.703,121.162,350.8,,,,
-32.704,121.172,423.8,,,,
-32.706,121.183,364.6,,,,
-32.713,121.105,345,,,,
-33.198,122.244,345.2,,,,
-33.199,122.255,360.6,,,,
-33.529,123.745,355.2,,,,
-33.557,123.728,333.7,,,,
-33.927,122.135,337.7,,,,
-33.931,122.1,419.5,,,,
-33.933,122.111,378.4,,,,
-34.315,118.33,332.8,,,,
-34.319,118.354,340.1,,,,
-34.321,118.366,331.6,,,,
-34.317,118.28,332.4,,,,
-34.321,118.304,354.1,,,,
-34.323,118.316,390.5,,,,
-34.325,118.328,423.8,,,,
-34.327,118.34,354.1,,,,
-34.329,118.352,418.4,,,,
-34.331,118.363,384.6,,,,
-34.333,118.375,335.6,,,,
-34.336,118.338,351.9,,,,
-34.338,118.35,395.8,,,,
-34.34,118.361,394.5,,,,
-34.342,118.373,356.6,,,,
-34.319,118.179,341.7,,,,
-34.334,118.264,347.9,,,,
-34.336,118.276,436,,,,
-34.338,118.288,354.7,,,,
-34.346,118.336,362.1,,,,
-34.348,118.347,328.5,,,,
-34.323,118.141,362.8,,,,
-34.325,118.153,359.9,,,,
-34.329,118.177,342.4,,,,
-34.345,118.274,350,,,,
-34.347,118.286,397,,,,
-34.349,118.298,370.7,,,,
-34.332,118.139,344.1,,,,
-34.334,118.151,359.8,,,,
-34.354,118.272,340.5,,,,
-34.357,118.284,381.9,,,,
-34.359,118.297,335.8,,,,
-34.364,118.27,365.9,,,,
-34.366,118.282,401.8,,,,
-34.369,118.275,393.7,,,,
-34.371,118.287,366.5,,,,
-34.379,118.273,356.7,,,,
-34.381,118.284,372.2,,,,
-34.365,118.075,339.5,,,,
-34.395,118.08,345.4,,,,
-34.397,118.092,376.6,,,,
-34.399,118.104,352.6,,,,
-34.405,118.077,340.2,,,,
-34.407,118.089,382.8,,,,
-34.409,118.101,368.5,,,,
-34.416,118.087,366.6,,,,
-34.418,118.099,372.1,,,,
-34.428,118.16,347.4,,,,
-34.43,118.172,365.1,,,,
-34.432,118.184,343.4,,,,
-34.434,118.133,348,,,,
-34.436,118.145,387.5,,,,
-34.438,118.157,465,,,,
-34.44,118.169,452.3,,,,
-34.442,118.181,407.5,,,,
-34.436,118.126,339.9,,,,
-34.439,118.138,371.3,,,,
-34.441,118.15,420.4,,,,
-34.443,118.162,448.5,,,,
-34.445,118.174,369.7,,,,
-34.448,118.135,341.5,,,,
-34.45,118.147,336.6,,,,
-15.478,125.066,323.8,,,,
-16.357,123.346,311.5,,,,
-33.239,150.953,317.1,,,,
-32.6,150.585,328.7,,,,
-32.582,150.583,335.8,,,,
-32.584,150.575,340.7,,,,
-31.789,151.849,325.6,,,,
-31.609,151.238,325.8,,,,
-31.586,152.135,319.7,,,,
-31.607,151.232,327.6,,,,
-31.494,151.352,336.6,,,,
-31.497,151.304,377.3,,,,
-31.48,151.308,330.3,,,,
-31.418,151.807,326.5,,,,
-31.42,151.765,334.7,,,,
-31.395,151.923,325.8,,,,
-31.401,151.807,343.1,,,,
-31.404,151.764,390.7,,,,
-31.491,151.344,349.2,,,,
-31.494,151.297,361,,,,
-31.429,151.799,316.2,,,,
-31.405,151.917,318.7,,,,
-31.412,151.8,347.6,,,,
-31.415,151.756,348.9,,,,
-31.388,151.917,322.7,,,,
-31.395,151.799,350.3,,,,
-31.398,151.756,371.4,,,,
-31.35,151.717,325.2,,,,
-31.345,151.713,326.2,,,,
-30.754,152.061,327,,,,
-30.638,151.963,325.1,,,,
-30.631,151.96,324.2,,,,
-30.523,150.895,328.7,,,,
-30.525,150.85,348.4,,,,
-30.508,150.85,332.8,,,,
-30.525,150.846,346.3,,,,
-30.507,150.845,329.2,,,,
-29.463,152.168,321.9,,,,
-29.465,152.132,328.3,,,,
-29.447,152.166,336,,,,
-29.449,152.131,325.6,,,,
-29.453,152.159,346.7,,,,
-29.456,152.122,327.8,,,,
-29.403,152.187,327.1,,,,
-29.406,152.153,321.7,,,,
-29.408,152.118,326.4,,,,
-29.388,152.185,325.5,,,,
-29.39,152.151,325.8,,,,
-29.328,151.999,325.5,,,,
-29.312,151.997,336.3,,,,
-26.309,150.467,331.5,,,,
-26.311,150.425,352.3,,,,
-26.306,150.459,343,,,,
-26.309,150.417,345.7,,,,
-11.602,153.752,313.6,,,,
-37.602,149.422,346.2,,,,
-37.608,149.393,359.5,,,,
-37.613,149.422,323.7,,,,
-37.599,149.417,361,,,,
-37.606,149.388,367.1,,,,
-37.61,147.976,323.6,,,,
-37.636,147.858,320.2,,,,
-37.603,147.948,328.9,,,,
-37.555,147.927,325.3,,,,
-37.548,147.898,339.6,,,,
-37.553,147.874,406.4,,,,
-37.558,147.85,334,,,,
-37.541,147.869,381.3,,,,
-37.537,147.641,330.8,,,,
-37.536,147.634,336.6,,,,
-37.524,147.63,344.6,,,,
-37.504,147.598,360.3,,,,
-37.395,147.675,326,,,,
-37.226,148.382,332.9,,,,
-35.626,150.012,322.1,,,,
-35.616,150.003,328.7,,,,
-32.755,151.056,310.6,,,,
-32.757,151.052,311.2,,,,
-32.595,150.581,330.9,,,,
-33.199,138.076,347.3,,,,
-32.024,135.922,344.8,,,,
-32.039,135.774,348.8,,,,
-30.775,132.854,346.2,,,,
-30.719,132.96,366.6,,,,
-30.721,132.944,355.9,,,,
-30.719,132.955,376,,,,
-30.708,132.953,356.5,,,,
-29.128,131.327,353.6,,,,
-29.13,131.308,345.7,,,,
-29.116,131.325,404.9,,,,
-29.118,131.306,383.2,,,,
-29.104,131.324,392.8,,,,
-29.106,131.305,385.8,,,,
-29.108,131.286,341.1,,,,
-29.092,131.322,425.3,,,,
-29.094,131.303,370.9,,,,
-29.078,131.34,358.4,,,,
-29.08,131.321,370.3,,,,
-29.082,131.302,349.9,,,,
-29.066,131.338,375.1,,,,
-29.068,131.319,354.7,,,,
-29.086,131.336,365.6,,,,
-29.088,131.317,402,,,,
-29.09,131.298,345.5,,,,
-29.074,131.334,382.2,,,,
-29.076,131.315,352,,,,
-29.062,131.333,360.3,,,,
-29.246,128.085,339.8,,,,
-29.248,128.078,338.7,,,,
-29.231,128.108,342.4,,,,
-29.233,128.077,369.9,,,,
-29.236,128.044,343.8,,,,
-29.216,128.107,349.7,,,,
-29.218,128.075,353.5,,,,
-29.22,128.043,360.3,,,,
-29.205,128.042,347.1,,,,
-29.207,128.009,364.6,,,,
-29.176,128.231,365.3,,,,
-29.192,128.008,342.9,,,,
-29.148,128.197,360,,,,
-29.208,128.037,346.7,,,,
-29.211,128.005,350.2,,,,
-29.178,128.226,363.5,,,,
-29.196,128.003,347.5,,,,
-29.15,128.192,354,,,,
-29.13,128.253,375.7,,,,
-29.135,128.191,359.9,,,,
-29.115,128.252,353.4,,,,
-29.12,128.19,356.9,,,,
-29.13,128.062,354.5,,,,
-29.1,128.251,368.7,,,,
-29.103,128.219,374.7,,,,
-29.105,128.188,343.2,,,,
-29.088,128.218,380.2,,,,
-29.09,128.187,352.2,,,,
-29.092,128.155,348.5,,,,
-29.095,128.123,356.4,,,,
-29.073,128.216,361.3,,,,
-29.075,128.185,351.1,,,,
-29.058,128.215,356.9,,,,
-29.06,128.184,345.2,,,,
-29.099,128.274,339.4,,,,
-29.101,128.243,370.4,,,,
-29.104,128.212,358.7,,,,
-29.086,128.242,350.3,,,,
-29.089,128.211,378.7,,,,
-29.094,128.148,353.4,,,,
-29.096,128.116,347.6,,,,
-29.074,128.209,366.9,,,,
-29.059,128.208,360.9,,,,
-29.044,128.207,365.7,,,,
